identifier,name,description,hp,hpIncrease,attack,attackIncrease,speed,range,skill,skillValue,skillCD,gold
normal,Drifter,No special ability.,60,10,10,5,1,1,,,,
hp,Tallhorn,"High HP, harder to defeat.",200,20,20,5,1,1,,,,
archer,Slinger,Can perform ranged attacks.,80,10,5,5,1,10,,,,
speed,Hoppit,Moves faster than normal enemies.,60,10,5,5,2,1,,,,
healer,Healbud,Heal one enemy.,80,10,5,5,1,1,heal,2,2,
fog,Puff,Creates fog that hides tiles.,140,20,10,5,1,1,createFog,2,2,
dirty,Clawpaw,"Scratches tiles, making them unusable until a wave cleans them.",120,20,10,5,1,1,dirtyWater,2,2,
summon,Swamp Herald,Can summon smaller minions to assist in battle.,200,20,10,5,1,1,summon|normal,1,2,
shield,Pangroll,"Curls into a ball each turn, blocking the first hit.",120,20,10,5,1,1,ignoreFirstAttack,,,
moveForward,moveForward,moveForward,70,10,10,5,1,1,hitMoveForward,,,
removeWave,removeWave,removeWave,70,10,10,5,1,1,removeWave,,,
elite,Wolf-Tone,He can howl so off-pitch that it throws off your sense of sound and locks one of your colors.,700,200,10,0,0,0,blockColor,2,4,
elite2,elite,You can only win by defeating it in this battle.\nIt will heal all enemies.,1,0,10,0,0,0,healAll,,3,
boss,Princess Off-Key,She will disable certain colors and heal all enemies.,1000,500,10,0,0,0,healAll,2,3,
chest,chest,Take Max 1 damage per time,1,1,0,0,1,0,lockHP,,,1
