enemies,startEnemyCount,gold,difficulty,bossIdentifier,turns,type,eventType,island,enemyPerRound,height
normal|9,3,3,0,,,normal,,0,3,4
speed|3|normal|3|speed|3|normal|3|speed|3,3,4,0,,,normal,1,0,3,4
archer|3|normal|3|archer|3|speed|3|archer|3,3,4,0,,,normal,,0,3,4
healer|1|normal|3|healer|1|speed|3|archer|2|healer|1,3,4,1,,,normal,1,0,3,4
healer|1|normal|1|speed|1|archer|1|healer|1|speed|1|archer|1,3,5,1,,,normal,,0,3,4
fog|1|normal|2|healer|1|archer|1|fog|1|speed|1|healer|1,4,6,1,,,normal,elite,0,3,4
hp|1|fog|1|normal|1|speed|1|archer|1|fog|1|healer|1|normal|1|archer|1|normal|1|speed|1|healer|1,4,4,1,elite,,boss,eliteAfter,0,3,6
dirty|1|normal|2|speed|2|archer|2|healer|2|dirty|1,4,4,1,,,normal,1,1,3,4
dirty|1|speed|2|normal|2|archer|2|healer|1|fog|1|hp|1|dirty|1,4,5,1,,,normal,,1,3,4
summon|1|healer|2|speed|2|fog|2|archer|2,4,5,2,,,normal,1,1,3,4
summon|1|healer|2|speed|2|fog|1|archer|2|dirty|1|summon|1|healer|2|fog|1,5,5,2,,,normal,,1,3,4
shield|1|normal|3|summon|1|fog|1|archer|2|dirty|2|shield|1,5,6,2,,,normal,boss,1,3,4
shield|1|summon|1|speed|1|healer|1|speed|1|fog|1|speed|1|archer|2|shield|2|healer|2|dirty|1,5,6,2,boss,,boss,princessAfter,1,3,6
