identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,available,buyPrice,upgradePrice,weight,unlock,unlockLevel,changeToRune,shape
damageIncrease,Damage, +{0}% damage.,damageIncrease,攻击,This wave deals +{0}% damage.,red,,50|75,1,3,3,10,,,,1
aoeAttack,Splash,Adjacent foes take {0} damage.,aoeAttack,攻击|aoe,"When this wave hits an enemy, also deal {0} damage to adjacent enemies.",red,,50|75,1,3,3,5,,4,,1
criticalChance,criticalChance,Damage has {0}% critical chance (200% damage),criticalChance,攻击|暴击,,red,,20|40,1,3,3,7,,,,1
lowHP,Execution, +{0}% damage to enemies below 30% HP.,lowHP,攻击|残血, +{0}% damage to enemies below 30% HP.,blue,,75|100,1,3,3,5,,5,,1
highHP,First Strike, +{0}% damage to enemies at full HP.,highHP,攻击|满血, +{0}% damage to enemies at full HP.,yellow,,100|150,1,3,3,10,,,,1
hurtDamageIncrease,hurtDamageIncrease,damage increase {0}% if lost hp last turn,hurtDamageIncrease,攻击|受击,,red,,100,1,3,3,5,,,,1
Boss Echo,Boss Echo,Hitting a normal enemy also deals {0}% damage to the Boss.,bossEcho,攻击|boss,,red,,50,1,3,3,10,,4,,1
Minion Echo,Minion Echo,Hitting the Boss deals {0}% damage to a random normal enemies.,minionEcho,攻击|boss,,blue,,50,1,3,3,10,,4,,1
bossDamage,bossDamage,Damage to Bosses +{0}%,bossDamage,攻击|boss,,blue,,100,1,3,3,10,,4,,1
executeThresholdIncrease,executeThresholdIncrease,Execute Threshold +{0}% (Instantly executes enemies if their remaining HP is <10% after an attack). Ineffective against Bosses.,executeThresholdIncrease,攻击|斩杀,,blue,,10|20,1,3,3,3,,,,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,,,,1
,,太op了改一改 - 不改了，把概率调低就好,,,,,,,,,,10,,,,1
hitAddColor,Spread,"When this wave hits an enemy, convert one random tile to this color.",hitAddColor,多,"When this wave hits an enemy, convert one random tile to this color.",blue,,1|2,1,3,3,2,,4,,1
more,Color Surge, +{0}% spawn chance.,more,多,This color tile has {0}% higher chance to appear.,red,,60|100|150,1,3,3,10,,4,,1
