identifier,name,description,category,school,color,condition,effectRule,cost,sourceKeyword,unlockCondition,chapterMin,weight,price
rune_ironWill,坚如磐石,最大HP+5，护盾获取量-50%,basic,,green,,玩家基础最大HP永久+5。所有来源的护盾获取量（含词条/符文/事件）减半，向下取整。,80,,,0,8,80
rune_thrifty,精打细算,金币获取+50%，无法购买稀有度≥3的词条,basic,,green,,战斗胜利金币/利息/事件奖励金币等所有金币来源+50%。但商店中稀有度（weight≤4）的词条无法购买。,60,,,0,7,60
rune_quickReflex,迅捷反射,每回合+1行动次数，最大HP-3,basic,,green,,阶段一玩家操作时，每回合获得额外1次行动次数（消除/右键）。但玩家基础最大HP减少3。,100,,,0,8,100
rune_bloodPrice,血之代价,可用HP代替金币在商店消费，最大HP-2,basic,,green,,在商店购买词条/符文/升级时，可选择消耗HP代替金币（1HP=20金币）。但玩家基础最大HP减少2。每次购买消耗的HP在本场战斗结束后不回复。,50,,,1,6,50
rune_battleRecovery,战后休整,每场战斗胜利后回复2HP，金币奖励-30%,basic,,green,,阶段六回合收尾后，若本场战斗胜利→额外回复2HP。但所有战斗的金币奖励减少30%。,70,,,0,7,70
rune_expandBoard,扩展音域,棋盘列数+1，音符种类+1,basic,,green,,棋盘从默认列数增加1列（右侧新增一列）。同时音符颜色种类从当前值+1（如4色→5色），消除难度显著提升。新增列上可正常生成音符和放置召唤物。阶段六补齐格子时也补齐新增列。,90,,,2,5,90
rune_compoundInterest,利滚利,未花费金币每回合获得20%利息，商店价格+20%,basic,,green,,阶段六回合收尾时，当前持有金币的20%（向下取整）作为利息获得。但所有商店商品基础价格+20%。利息金币不计入下次利息计算基数。,60,,,1,6,60
rune_scavenger,战场拾荒,击败怪物有30%概率掉落额外金币，怪物HP+1,basic,,green,,每只怪物死亡时，独立判定30%概率额外掉落（掉落金币数=怪物基础掉落×0.5）。但所有怪物最大HP+1（Boss+2），战斗时间延长。,70,,,1,5,70
rune_symphonyAvatar,交响化身,≥4只精灵自动融合为占3格的交响化身，免疫碰撞,school,召唤,blue,,阶段四召唤物攻击前全局判定：若场上存活精灵≥4只→自动融合为占3格（横向）的交响化身→免疫怪物碰撞、不可被消灭（destroy/die均无效）→每回合攻击伤害=融合前4只精灵攻击力之和×1.5→持续3回合后自动消失（destroy类型）→释放3个占领格。,120,终章·交响化身,,2,4,120
rune_phantomGuard,幻影守卫,召唤物被怪物碰撞不死亡，改为扣玩家1HP,school,召唤,blue,,阶段五怪物移动碰撞召唤物时，碰撞规则改写：召唤物不触发die→怪物穿透召唤物格继续移动→玩家立即扣除1HP。若同一回合多个怪物穿透不同召唤物，每次穿透独立扣HP。,100,,,0,6,100
rune_thornArmor,荆棘甲,护盾被消耗时，对攻击者造成等同消耗量的伤害,school,护盾,green,,任何来源消耗玩家的护盾值时（怪物自爆/技能伤害等），立即对造成伤害的怪物反弹伤害=本次消耗的护盾值×1.0。反弹伤害在阶段二结算。若多个怪物同时消耗护盾，分别反弹。,90,,,0,6,90
rune_shieldOverflow,护盾洪流,满护盾时溢出的护盾获取量转化为范围伤害,school,护盾,green,,当护盾已达上限时，任何来源的溢出护盾值不浪费，转化为范围伤害（伤害=溢出值×1.5），均匀分配给场上所有怪物。若场上无怪物则不触发。阶段三/四均可结算溢出伤害。,100,,,1,5,100
rune_fatalFocus,致命专注,暴击伤害×2.5，非暴击伤害-30%,school,强攻,red,,所有来源的暴击判定（含词条暴击/符文暴击等）暴击时伤害倍率从1.5x提升至2.5x。但非暴击的所有音波伤害降低30%。鼓励堆暴击率，惩罚不暴击。,100,,,1,5,100
rune_siegebreaker,破阵先锋,对距离玩家最近的怪物伤害+50%，对后排怪物伤害-30%,school,强攻,red,,阶段二伤害结算时判定：若目标怪物为当前距离玩家列最近的一只（复数时取最左上的），伤害×1.5。若目标不是最前排，伤害×0.7。该判定逐只怪物独立计算。,80,,,0,6,80
rune_octaveHarmony,八音齐奏,≥8格连线触发2次音波，≤4格连线伤害减半,school,多,blue,,阶段一玩家操作后判定：若本次连线≥8格→阶段二生成2道音波（同方向全伤害）。若本次连线≤4格→音波伤害×0.5。5-7格连线不受影响。,110,,,1,5,110
rune_loneWolf,孤狼,单色格子自成连线并且伤害×5，≥5格连线无伤害,school,少,blue,,阶段二伤害结算时判定：若本次连线恰好1格→伤害×5.0。若连线≥5格→音波不造成任何伤害（音波仍生成但不造成伤害，控制/标记等附加效果仍触发）。4格连线不受影响。,110,,,1,5,110
rune_desperation,绝境,HP≤3时伤害×2，护盾获取×2,special,,yellow,HP≤3,全局被动判定：当玩家当前HP≤3时，所有音波伤害×2.0，所有来源的护盾获取量×2.0。HP>3时无任何效果。与濒死类词条叠加。「绝境中的力量——不疯魔不成活。」,100,,,1,5,100
rune_flawless,无伤之证,本局从未受过伤害时伤害翻倍，受伤后符文永久失效,special,,yellow,本局从未受伤,全局判定：只要玩家本局游戏累计受到过伤害（HP减少），此符文永久失效（符文仍占格但效果无效化，不可替换直到死亡）。若始终无伤→全伤害×2.0。「完美不是没有伤痕，而是伤痕从未发生。」,80,,,0,4,80
