identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
spawnAlly,音符精灵,消除时若连线≥4格则召唤一只精灵(HP=音波伤害{0}%),spawnAlly,召唤,"召唤一只精灵占据1格。阶段四自动向右侧发射音波,命中怪物扣1HP。精灵1血,被怪物碰撞即死。全局最多6只,超过上限时新换旧(replace)。",yellow,1,20|40,2,1,3,3,10,,,,0
chainConnect,共鸣链,精灵相邻四格视为同色音符参与连线消除,chainConnect,召唤|多,"精灵所在格的上下左右四格,消除时可当作与精灵同色。借助精灵把两块不同颜色的音符区域连起来,间接增加连线长度。",blue,,,,1,3,3,8,spawnAlly,2,,0
summonVolley,和声齐奏,场上每有一只精灵则额外弹射一道音波(伤害=精灵攻击力{0}%),summonVolley,召唤|攻击,"阶段三自动技能释放时触发:场上每有一只精灵,向右侧额外弹射一道音波。弹射伤害=精灵攻击力的{0}%。铺场越多弹射越密集。",blue,,30|50,2,1,4,4,7,spawnAlly,3,,0
columnClear,音波猎犬,召唤一只猎犬。所在列消除任意格时整列同色格自动消除,columnClear,召唤|多,"召唤一只猎犬占据1格。不主动攻击——但玩家消除它所在列的任意格时(阶段一),该列所有同色音符格自动一并消除。猎犬本身不参与消除,不可被选中。",blue,,,,1,3,3,6,spawnAlly,3,,0
deathExplode,回音壁,精灵被怪物撞死时向右侧发射一道音波伤害,deathExplode,召唤,精灵被怪物碰撞死亡时(die类型)触发死亡逻辑:以该精灵所在格为中心向右侧触发等同3连消的音波伤害。伤害结算后格子释放。注意:超过上限被替换消失(replace)不触发此效果。,blue,,,,1,3,3,6,spawnAlly,3,,0
surviveEliminate,安可,含精灵的格子可以被任意连线消除，消除时精灵不死亡而是移至最近的空格,surviveEliminate,召唤,"选中一只精灵。本回合内当你消除该精灵所在格时(阶段一),精灵不消失——自动移至相邻空格继续存活。每回合最多触发一次。多只精灵各有独立计数。",yellow,,,1,1,4,4,5,spawnAlly,4,,0
scaleWithTiles,渐强,精灵攻击力=本回合消除总格数×{0}%(下回合重置),scaleWithTiles,召唤,"精灵攻击力从固定值改为动态计算:阶段二玩家操作结算完毕后,每只精灵的攻击力=本回合所有消除行动消除的总格数×{0}%。消除越多精灵越强,下回合重置。",blue,,50|80,2,1,3,3,5,spawnAlly,3,,0
restWall,休止符,召唤占2格的休止符。怪物自动绕行不碰撞。持续3回合。全场最多1个,restWall,召唤,"召唤一个占据2格(横向)的休止符。怪物移动时若遇到休止符自动绕行,不触发碰撞。持续3回合后自动消失(destroy类型)。全场最多1个。休止符所在格不可选中不可消除。",blue,,,,1,4,4,5,,,,0
sacrificeBurst,狂想曲,牺牲场上所有精灵。每只造成{0}连消伤害后全部消失(die类型),sacrificeBurst,召唤|攻击,"阶段三自动技能:遍历场上所有精灵→选中其所在格子→无视颜色一次性全部消除→每只按{0}连消计算音波伤害。释放后精灵消失(die类型),触发各自死亡逻辑(如回音壁)。场上无精灵时不触发。",red,,5|7,2,1,5,5,3,spawnAlly,5,,0
purifyBell,净化之铃,召唤一只铃铛。每2回合对全场敌人造成固定伤害。持续6回合,purifyBell,召唤,"召唤净化铃占据1格。阶段四召唤物攻击时:每2回合响铃一次,对所有怪物造成铃铛攻击力{0}%固定伤害。对BOSS无效,对精英减半。铃铛1血可被碰撞死亡但不触发死亡效果。持续6回合后自动消失。",yellow,,30|50,2,1,4,4,4,spawnAlly,4,,0
