identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
mass_colorCall,音符召唤,蓝色音符出现率提升{0}%,mass_colorCall,多,"阶段六·回合收尾时触发。永久提升蓝色音符在棋盘上的出现概率，让你更容易形成大连线。",blue,1,5|8|12,3,1,3,3,10,,,0,0
mass_scaleForce,连线共鸣,每消{0}格额外造成1点伤害,mass_scaleForce,多,"阶段二·伤害结算时触发。连线格数每达到指定阈值，额外追加1点固定伤害，无视防御。",yellow,1,5|4|3,3,1,3,3,10,,,0,0
mass_stackShield,消格护盾,每消除{0}格获得1层护盾,mass_stackShield,多,"阶段三·自动技能触发时结算。根据本回合总消除格数，每达到指定格数自动生成1层护盾，可叠加。",yellow,0,8|6|5,3,1,4,4,8,mass_scaleForce,2,0,0
mass_healTide,生命潮汐,消除≥{0}格时回复1点生命,mass_healTide,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，额外回复玩家1点生命值。",yellow,0,7|5|4,3,1,4,4,7,mass_scaleForce,2,0,0
mass_turboCharge,疾速充能,每消{0}格行动条+1,mass_turboCharge,多,"阶段二·伤害结算时触发。每消除指定格数额外推进行动条，让你更快获得下一回合。",blue,0,7|6|5,3,1,4,4,7,mass_scaleForce,2,0,0
mass_critEdge,临界暴击,每多连{0}格暴击率+10%,mass_critEdge,多,"阶段二·伤害结算时触发。连线格数每超出基础值指定格数，本回合暴击率额外提升10%。",yellow,0,5|4|3,3,1,4,4,6,mass_turboCharge,2,0,0
mass_summonCall,共鸣召唤,消除≥{0}格召唤音符精灵,mass_summonCall,多,"阶段四·召唤物攻击时触发。单次连线消除格数达到阈值时，自动召唤一只音符精灵协助战斗。",blue,0,10|8|6,3,1,5,5,5,,,0,0
mass_manaCharge,魔力充能,每消{0}格回复1点魔力,mass_manaCharge,多,"阶段二·伤害结算时触发。每消除指定格数自动回复1点魔力，用于释放主动技能。",blue,0,6|5|4,3,1,4,4,5,,,0,0
mass_dazeWave,眩晕音波,消除≥{0}格时有30%概率眩晕怪物,mass_dazeWave,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，有30%概率使目标怪物眩晕，跳过其下一回合行动。",yellow,0,8|7|6,3,1,4,4,7,mass_healTide,2,0,0
mass_pierceEcho,穿透回音,每多连{0}格音波穿透+1,mass_pierceEcho,多,"阶段二·伤害结算时触发。连线格数每超出基础值指定格数，音波额外穿透1个怪物。",blue,0,6|5|4,3,1,4,4,6,mass_turboCharge,2,0,0
mass_shieldBreak,破盾强音,消除≥{0}格时无视怪物护盾,mass_shieldBreak,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，本回合音波攻击无视怪物的护盾值。",yellow,0,10|8|7,3,1,5,5,6,mass_stackShield,2,0,0
mass_extraHit,连击追击,消除≥{0}格时额外追加1次音波攻击,mass_extraHit,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，追加一次额外的音波攻击。",blue,0,12|10|8,3,1,5,5,4,mass_scaleForce,3,0,0
mass_overload,音波过载,消除≥{0}格时伤害翻倍,mass_overload,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，本次音波造成的总伤害翻倍。",yellow,0,12|10|8,3,1,5,5,8,mass_scaleForce,2,0,0
mass_echoBlast,回音爆破,消除≥{0}格触发50%二次音波,mass_echoBlast,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，触发一次二次音波，伤害为本次的50%。",blue,0,10|8|6,3,1,5,5,6,mass_overload,2,0,0
mass_cascadeShock,连锁震撼,消除≥{0}格自动消除周围音符,mass_cascadeShock,多,"阶段一·玩家操作后触发。单次连线消除格数达到阈值时，自动引爆周围的所有音符，产生连锁消除。",yellow,0,10|8|7,3,1,5,5,7,mass_overload,2,0,0
mass_stoneWall,音障壁垒,消除≥{0}格在怪物前方生成屏障,mass_stoneWall,多,"阶段五·怪物移动前触发。单次连线消除格数达到阈值时，在中央列生成一道屏障，阻挡怪物前行1回合。",blue,0,10|8|6,3,1,4,4,6,mass_stackShield,3,0,0
mass_inferno,烈焰音波,消除≥{0}格附加灼烧3回合,mass_inferno,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，对目标附加灼烧效果，持续3回合造成固定伤害。",yellow,0,10|8|7,3,1,4,4,5,mass_overload,3,0,0
mass_freezeTouch,冰封旋律,消除≥{0}格冻结怪物1回合,mass_freezeTouch,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，冻结命中的怪物，使其下回合无法移动。",blue,0,10|8|7,3,1,4,4,5,mass_overload,3,0,0
