identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
atk_powerUp,力量增幅,伤害提升{0}%,atk_powerUp,强攻,"阶段二伤害结算时，所有音波攻击的基础伤害提升{0}%。朴实无华的增幅，适合任何流派起步。",red,1,10|18|25,3,1,3,3,10,,,0,0
atk_firstStrike,先发制人,满血怪物受伤+{0}%,atk_firstStrike,强攻,"阶段二伤害结算时，对生命值全满的怪物造成额外{0}%伤害。开局爆发利器，配合高伤组合一击制敌。",red,1,25|40|55,3,1,3,3,10,,,0,0
atk_echoBurst,回音爆裂,额外伤害+{0}%,atk_echoBurst,强攻,"阶段二伤害结算时，音波命中后产生回音共振，额外追加{0}%二次伤害。高数值全局增伤，强攻流派核心之一。",red,,15|25|35,3,1,4,4,7,atk_powerUp,1,0,0
atk_chainResonance,连锁共鸣,每组消除+{0}%伤害,atk_chainResonance,强攻,"阶段二伤害结算时，本回合每消除一组音符（不限颜色），最终伤害额外提升{0}%。连续消除滚雪球，后期爆发惊人。",red,,8|14|20,3,1,4,4,7,atk_powerUp,1,0,0
atk_criticalHit,暴击,{0}%概率1.5倍暴击,atk_criticalHit,强攻,"阶段二伤害结算时，每次音波攻击有{0}%概率触发暴击，暴击伤害为基础伤害的1.5倍。人品爆发，一击翻盘。",red,,15|25,2,1,4,4,7,atk_powerUp,1,0,0
atk_piercingNote,音符穿透,穿透{0}个目标,atk_piercingNote,强攻,"阶段二伤害结算时，音波可穿透{0}个怪物，每个穿透目标伤害衰减20%。面对密集怪物阵线的利器。",red,,1|2|3,3,1,4,4,7,atk_powerUp,1,0,0
atk_comboStrike,连击,连击增伤{0}%可叠5层,atk_comboStrike,强攻,"阶段二伤害结算时，本回合每次音波攻击命中后，后续攻击伤害累积提升{0}%，最多叠加5层。越战越勇，持久战杀手锏。",red,,10|18|25,3,1,4,4,7,atk_firstStrike,1,0,0
atk_huntersMark,猎手标记,标记增伤{0}%,atk_huntersMark,强攻,"阶段一玩家操作时自动对最右侧怪物施加猎手标记。阶段二结算时被标记目标受到额外{0}%伤害。精准猎杀，逐个点名。",red,,35|60,2,1,4,4,7,atk_firstStrike,1,0,0
atk_columnRage,列之怒,每消除列+{0}%伤害,atk_columnRage,强攻,"阶段二伤害结算时，本回合每消除一整列的音符，总伤害额外提升{0}%。铺场流核心，消除范围越大越强。",red,,12|22|30,3,1,4,4,7,atk_firstStrike,1,0,0
atk_giantSlayer,巨人猎手,对BOSS伤害+{0}%,atk_giantSlayer,强攻,"阶段二伤害结算时，对BOSS级怪物造成的所有伤害额外提升{0}%。BOSS特攻路线起点，后期攻坚必备。",red,,25|40|55,3,1,4,4,7,atk_firstStrike,1,0,0
atk_siegeBreaker,破阵,对最前排怪物+{0}%伤害,atk_siegeBreaker,强攻,"阶段二伤害结算时，对每行最靠前的怪物（最接近玩家列）额外造成{0}%伤害。阻击先锋，防止怪物压线。",red,,40|70,2,1,4,4,7,atk_firstStrike,1,0,0
atk_fury,怒火,每损1HP伤害+{0}%,atk_fury,强攻,"阶段二伤害结算时，玩家当前每损失1点生命值，所有伤害额外提升{0}%。血量越低输出越猛，绝境翻盘核心。",red,,15|28|40,3,1,4,4,6,atk_echoBurst,2,0,0
atk_soundWave,音浪冲击,溅射伤害{0}%,atk_soundWave,强攻,"阶段二伤害结算时，音波命中主目标后对相邻怪物造成{0}%溅射伤害。AOE清场利器，怪物越多效率越高。",red,,25|40|55,3,1,4,4,6,atk_chainResonance,2,0,0
atk_lethalStrike,致命一击,暴击伤害+{0}%,atk_lethalStrike,强攻,"阶段二伤害结算时，触发暴击时伤害倍率额外提升{0}%（即1.5倍变成1.5+{0}%倍）。需配合暴击词条，一刀入魂。",red,,30|50,2,1,4,4,6,atk_criticalHit,2,0,0
atk_shatterArmor,碎甲,无视目标{0}%护甲,atk_shatterArmor,强攻,"阶段二伤害结算时，音波攻击可忽略目标{0}%护甲值。面对高防怪物时收益极为显著。",red,,20|35,2,1,4,4,6,atk_piercingNote,2,0,0
