identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
uni_economy,勤俭持家,购买词条花费减少{0}%,uni_economy,通用,"阶段六商店结算时触发：购买新词条时，所需金币降低{0}%（向下取整，最低1金币）。此效果在每次购买时自动生效。",yellow,1,10|15|20,3,1,3,3,10,,,0,0
uni_bargain,精打细算,商店刷新费用减少{0},uni_bargain,通用,"阶段六商店结算时触发：在商店刷新词条列表时，刷新所需金币减少{0}。可与勤俭持家效果叠加。",yellow,,3|4|5,3,1,4,3,8,uni_economy,1,0,0
uni_discount,折扣券,升级词条花费减少{0}%,uni_discount,通用,"阶段六商店结算时触发：在商店升级已有词条时，升级所需金币降低{0}%（向下取整，最低1金币）。",yellow,,10|15|20,3,1,4,3,7,uni_economy,1,0,0
uni_salary,战斗津贴,战斗胜利额外获得{0}金币,uni_salary,通用,"阶段二伤害结算时触发：若当前回合清空所有怪物（即战斗胜利），额外获得{0}金币。战胜首领时金币翻倍。",yellow,,3|5|8,3,1,5,4,7,uni_bargain,1,0,0
uni_interest,利息收入,每回合末获得{0}%利息,uni_interest,通用,"阶段六回合收尾时触发：回合完全结束时，根据当前持有金币数，获得{0}%的利息（向下取整），单次利息上限15金币。",yellow,,10|15|20,3,1,5,4,5,uni_salary,1,0,0
uni_bonusCoin,额外收益,消除≥{0}连额外+{1}金币,uni_bonusCoin,通用,"阶段一玩家操作时触发：单次连线消除的音符数量≥{0}个时，额外获得{1}金币。每回合最多触发3次。",yellow,,"7,1|5,2",2,1,6,5,4,uni_interest,2,0,0
uni_momentum,势如破竹,连续命中伤害递增{0}%,uni_momentum,通用,"阶段二伤害结算时触发：连续多个回合命中怪物时，每个连续命中回合使伤害额外递增{0}%（可叠加，上限3层）。命中中断后重置。",red,1,15|25|40,3,1,3,3,10,,,0,0
uni_crit,会心一击,攻击有{0}%概率暴击({1}%伤害),uni_crit,通用,"阶段二伤害结算时触发：每次造成伤害时，有{0}%概率触发暴击，暴击造成{1}%的伤害。",red,,"10,150|15,160|20,180",3,1,4,3,8,uni_momentum,1,0,0
uni_precision,精准打击,命中≥{0}音符伤害+{1}%,uni_precision,通用,"阶段二伤害结算时触发：单次攻击命中的音符数量≥{0}个时，该次攻击伤害额外增加{1}%。",red,,"5,15|5,25|5,40",3,1,4,3,8,uni_momentum,1,0,0
uni_execute,处决,怪物HP<{0}%时伤害+{1}%,uni_execute,通用,"阶段二伤害结算时触发：怪物当前HP低于其最大HP的{0}%时，对其造成的伤害额外增加{1}%。",red,,"30,30|30,50|30,75",3,1,5,4,6,uni_precision,1,0,0
uni_firstStrike,先发制人,回合首次攻击伤害+{0}%,uni_firstStrike,通用,"阶段二伤害结算时触发：每个回合的第一次攻击造成的伤害额外增加{0}%。",red,,30|50|75,3,1,4,4,7,uni_precision,1,0,0
uni_avenge,复仇之心,受击后下回合伤害+{0}%,uni_avenge,通用,"阶段三自动技能时触发：若上一回合受到过伤害，本回合所有攻击伤害增加{0}%。",red,,25|40|60,3,1,5,4,5,uni_firstStrike,1,0,0
uni_stackKill,越战越勇,每击败{0}只怪永久+{1}攻,uni_stackKill,通用,"阶段二伤害结算时触发：累计每击败{0}只怪物，永久获得+{1}基础攻击力。全局生效，不随词条移除而消失。",red,,"3,1|2,1",2,1,6,5,4,uni_avenge,2,0,0
uni_critBoost,暴击强化,暴击伤害倍率+{0}%,uni_critBoost,通用,"阶段二伤害结算时触发：触发暴击时，暴击伤害倍率在原有基础上再增加{0}%。",red,,25|50|80,3,1,5,4,5,uni_crit,2,0,0
uni_hpBoost,强身健体,最大HP+{0},uni_hpBoost,通用,"阶段六回合收尾时触发：永久提升最大生命值上限{0}点。获得此词条时立即生效一次。",blue,,2|4|6,3,1,3,3,8,,,0,0
uni_regen,自然回复,回合结束恢复{0}HP,uni_regen,通用,"阶段六回合收尾时触发：回合完全结束时，恢复{0}点HP。不会超过最大生命值。",blue,,1|2|3,3,1,4,3,8,uni_hpBoost,1,0,0
uni_resilience,坚韧,受到伤害减少{0},uni_resilience,通用,"阶段五怪物移动时触发：受到怪物自爆或攻击伤害时，伤害减少{0}点（最低为1）。",blue,,1|2|3,3,1,4,3,8,uni_hpBoost,1,0,0
